,Origen,Destino,Tipo,Distancia
395,Aparcamiento para residentes. Isla de Tavira,239 - Francos Rodríguez,Publicos Municipales,3000.0751364547496
396,Aparcamiento para residentes. Isla de Tavira,239 - Francos Rodríguez,Residentes,3000.0751364547496
397,Aparcamiento para residentes. Islas Filipinas,128 - Cea Bermúdez,Publicos Municipales,108.03490638308288
398,Aparcamiento para residentes. Islas Filipinas,128 - Cea Bermúdez,Residentes,108.03490638308288
399,Aparcamiento para residentes. Iván de Vargas,223 - Ermita Santo,Publicos Municipales,416.8471740273952
400,Aparcamiento para residentes. Iván de Vargas,223 - Ermita Santo,Residentes,416.8471740273952
401,Aparcamiento para residentes. Jacinto Verdaguer,212 - Marqués de Vadillo,Publicos Municipales,389.4665274087649
402,Aparcamiento para residentes. Jacinto Verdaguer,212 - Marqués de Vadillo,Residentes,389.4665274087649
403,Aparcamiento para residentes. Joaquín María López,128 - Cea Bermúdez,Publicos Municipales,180.26646827455625
404,Aparcamiento para residentes. Joaquín María López,128 - Cea Bermúdez,Residentes,180.26646827455625
405,Aparcamiento para residentes. José Abascal,247 - Zurbano,Publicos Municipales,74.03470048749968
406,Aparcamiento para residentes. José Abascal,247 - Zurbano,Residentes,74.03470048749968
407,Aparcamiento para residentes. José Cadalso,224 - Caramuel,Publicos Municipales,5652.824529668522
408,Aparcamiento para residentes. José Cadalso,224 - Caramuel,Residentes,5652.824529668522
409,Aparcamiento para residentes. José del Hierro,229 - C.D. Concepción,Publicos Municipales,226.75054254197573
410,Aparcamiento para residentes. José del Hierro,229 - C.D. Concepción,Residentes,226.75054254197573
411,Aparcamiento para residentes. José Luis Arrese,233 - Marqués de Corbera 12,Publicos Municipales,202.56356107638263
412,Aparcamiento para residentes. José Luis Arrese,233 - Marqués de Corbera 12,Residentes,202.56356107638263
413,Aparcamiento para residentes. Josep Pla,146 - María Francisca 1,Publicos Municipales,281.03028243608617
414,Aparcamiento para residentes. Josep Pla,146 - María Francisca 1,Residentes,281.03028243608617
415,Aparcamiento para residentes. Juan de Vera,164 - Paseo de las Delicias,Residentes,249.35942276365483
416,Aparcamiento para residentes. Juan Esplandiú,72 - Sainz de Baranda,Publicos Municipales,315.2710047672119
417,Aparcamiento para residentes. Juan Esplandiú,72 - Sainz de Baranda,Residentes,315.2710047672119
418,Aparcamiento para residentes. Juan Francisco Luján I,220 - Plaza del Encuentro,Publicos Municipales,292.2193222079574
419,Aparcamiento para residentes. Juan Francisco Luján I,220 - Plaza del Encuentro,Residentes,292.2193222079574
420,Aparcamiento para residentes. Juan Francisco Luján II,220 - Plaza del Encuentro,Publicos Municipales,606.5120889467174
421,Aparcamiento para residentes. Juan Francisco Luján II,220 - Plaza del Encuentro,Residentes,606.5120889467174
