;PK;NOMBRE;BARRIO;DISTRITO;LATITUD;LONGITUD;Place address
228;13602;Aparcamiento para residentes. San Francisco de Sales I;VALLEHERMOSO;CHAMBERI;40.4414293715104;-3.713907903523528;CALLE ANDRES MELLADO, 116
229;81831;Aparcamiento para residentes. San Francisco de Sales II;VALLEHERMOSO;CHAMBERI;40.44186954568839;-3.714113012997944;PASEO SAN FRANCISCO DE SALES, 27
230;13603;Aparcamiento para residentes. San Germán;CASTILLEJOS;TETUAN;40.45779993088596;-3.69747502964215;CALLE INFANTA MERCEDES, 40
231;13621;Aparcamiento para residentes. San Juan de la Cruz;RIOS ROSAS;CHAMBERI;40.44114575525758;-3.693906999649197;PLAZA SAN JUAN DE LA CRUZ, 3
232;81833;Aparcamiento para residentes. San Juan de la Salle;EL VISO;CHAMARTIN;40.45084961018325;-3.6891952944971687;CALLE SAN JUAN DE LA SALLE, 2
233;13604;Aparcamiento para residentes. San Lamberto;VENTAS;CIUDAD LINEAL;40.422208199253056;-3.650627511621981;CALLE SANTA GENOVEVA, 9
234;13622;Aparcamiento para residentes. Sancho de Córdoba;MEDIA LEGUA;MORATALAZ;40.4075187512468;-3.653055244559577;PLAZA CORREGIDOR SANCHO DE CORDOBA, 10
235;81836;Aparcamiento para residentes. Santa Cruz;SOL;CENTRO;40.41468120182588;-3.705162347755471;CALLE ATOCHA, 3
236;13555;Aparcamiento para residentes. Santa Eugenia;SANTA EUGENIA;VILLA DE VALLECAS;40.38131130575197;-3.608459149580722;CALLE ZAZUAR, 12
237;13496;Aparcamiento para residentes. Santa Susana;PINAR DEL REY;HORTALEZA;40.48017828214144;-3.647930587431498;CALLE SANTA SUSANA, 55
238;13605;Aparcamiento para residentes. Santa Virgilia;PINAR DEL REY;HORTALEZA;40.47633184455615;-3.6430212857319466;CALLE SANTA VIRGILIA, 12
239;81838;Aparcamiento para residentes. Santander;VALLEHERMOSO;CHAMBERI;40.444172355989295;-3.71029327554917;PASEO SAN FRANCISCO DE SALES, 39
240;13507;Aparcamiento para residentes. Santo Domingo de Silos;EL VISO;CHAMARTIN;40.45076858535646;-3.6876731819953954;CALLE SANTO DOMINGO DE SILOS, 2
241;24138;Aparcamiento para residentes. Sarriá;EL PILAR;FUENCARRAL-EL PARDO;40.475766056159074;-3.714802346595453;CALLE SARRIA, 67
242;81841;Aparcamiento para residentes. Somontín;APOSTOL SANTIAGO;HORTALEZA;40.47715159634088;-3.659026563980032;CALLE SOMONTIN, 98
243;13492;Aparcamiento para residentes. Sor Ángela de la Cruz;CASTILLEJOS;TETUAN;40.45995509273568;-3.695645580885913;CALLE SOR ANGELA DE LA CRUZ, 24
244;13511;Aparcamiento para residentes. Tembleque;ALUCHE;LATINA;40.39145429571687;-3.764928439225643;CALLE TEMBLEQUE, 146
245;13547;Aparcamiento para residentes. Tomelloso;ALMENDRALES;USERA;40.38202222447678;-3.697918072438601;CALLE TOMELLOSO, 1
246;13489;Aparcamiento para residentes. Uruguay;HISPANOAMERICA;CHAMARTIN;40.45463546024847;-3.6735603027224646;CALLE URUGUAY, 12
247;13559;Aparcamiento para residentes. Valladolid;CASA DE CAMPO;MONCLOA-ARAVACA;40.43026647613837;-3.731320544485255;AVENIDA VALLADOLID, 55
248;24141;Aparcamiento para residentes. Valle de Suchil;ARAPILES;CHAMBERI;40.43261178393764;-3.707683985900638;CALLE ARAPILES, 17
249;13523;Aparcamiento para residentes. Valparaíso;HISPANOAMERICA;CHAMARTIN;40.45521747089742;-3.680323897497732;PLAZA VALPARAISO, 5
250;13623;Aparcamiento para residentes. Vasconcelos;CASTILLA;CHAMARTIN;40.47097243608375;-3.686711391241331;CALLE JOSE VASCONCELOS, 4
251;61831;Aparcamiento para residentes. Vía Carpetana;VISTA ALEGRE;CARABANCHEL;40.3884352927236;-3.744370043884504;CALLE VIA CARPETANA, 205
252;13513;Aparcamiento para residentes. Vicente Gaceo;ALMENARA;TETUAN;40.4734409803006;-3.688211148150712;CALLE VICENTE GACEO, 19
253;13606;Aparcamiento para residentes. Villa Rosa;CANILLAS;HORTALEZA;40.46725432234968;-3.6309383657037775;"CALLE LAS PEDRO&amp;Ntilde;ERAS, 44"
254;13607;Aparcamiento para residentes. Villacarlos;CASCO H.VICALVARO;VICALVARO;40.40598691826845;-3.60680746518132;CALLE VILLACARLOS, 10
255;13608;Aparcamiento para residentes. Villaescusa;PUEBLO NUEVO;CIUDAD LINEAL;40.41982661310281;-3.630058923275035;CALLE MATAMOROSA, 2
256;13609;Aparcamiento para residentes. Villamanín I;LUCERO;LATINA;40.40645909050053;-3.753230652462212;CALLE VILLAMANIN, 37
257;13528;Aparcamiento para residentes. Villamanín II;LUCERO;LATINA;40.40589242615189;-3.754473549632445;CALLE VILLAMANIN, 50
258;81866;Aparcamiento para residentes. Virgen de Aránzazu;VALVERDE;FUENCARRAL-EL PARDO;40.48651259805486;-3.689784149213909;CALLE VIRGEN DE ARANZAZU, 23
259;13610;Aparcamiento para residentes. Virgen de La Alegría;CONCEPCION;CIUDAD LINEAL;40.43386421737824;-3.657295067306364;CALLE VIRGEN DE LA ALEGRIA, 19
260;13612;Aparcamiento para residentes. Virgen de La Roca I;CONCEPCION;CIUDAD LINEAL;40.43512313182771;-3.657708192601482;CALLE VIRGEN DE LA ROCA, 18
261;13613;Aparcamiento para residentes. Virgen de La Roca II;CONCEPCION;CIUDAD LINEAL;40.435312512147966;-3.657674667298404;CALLE VIRGEN DE LA ROCA, 20
262;13639;Aparcamiento para residentes. Virgen de Lourdes;CONCEPCION;CIUDAD LINEAL;40.43590606878259;-3.657857305575938;CALLE VIRGEN DE LOURDES, 40
263;13611;Aparcamiento para residentes. Virgen del Puerto;IMPERIAL;ARGANZUELA;40.413421489994384;-3.720978294184013;PASEO VIRGEN DEL PUERTO, 7
264;7397971;Aparcamiento para Residentes. Virgen del Romero;CONCEPCION;CIUDAD LINEAL;40.438754114417975;-3.6512822080388543;PLAZA VIRGEN DEL ROMERO, 9
265;13614;Aparcamiento para residentes. Vista Alegre;VISTA ALEGRE;CARABANCHEL;40.386090109968336;-3.737781877739329;CALLE MATILDE HERNANDEZ, 101
266;13493;Aparcamiento para residentes. Vital Aza;PUEBLO NUEVO;CIUDAD LINEAL;40.43085729658349;-3.6445415699752335;CALLE VITAL AZA, 10
267;13463;Aparcamiento público. Plaza de España;ARGUELLES;MONCLOA-ARAVACA;40.42372251184839;-3.711657734050852;"PLAZA ESPA&amp;Ntilde;A, 20"
268;11483771;Aparcamiento disuasorio Aviación Española;LAS AGUILAS;LATINA;40.383353;-3.783593;CALLE FUENTE DE LIMA, 5
269;10489514;Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b;ROSAS;SAN BLAS-CANILLEJAS;40.434154;-3.598831;AVENIDA ARCENTALES, 37
270;11413444;Aparcamiento disuasorio Fuente de la Mora;VALDEFUENTES;HORTALEZA;40.48444286881538;-3.664502512734404;CALLE DULCE CHACON, 0
271;11544464;Aparcamiento disuasorio Islazul;BUENAVISTA;CARABANCHEL;40.36521668890186;-3.737923481612698;CALLE CALDERILLA, 1
272;11413620;Aparcamiento disuasorio Pitis;FUENTELARREINA;FUENCARRAL-EL PARDO;40.494192950973726;-3.727236000896534;CALLE GLORIA FUERTES, 0
273;13470;Aparcamiento mixto. Arquitecto Ribera;JUSTICIA;CENTRO;40.42668789975573;-3.699617370122249;CALLE BARCELO, 2
